timestamp,source,signal_type,severity,trigger_id,context,extra
2025-10-30T05:11:37.524979,4chan,triggered_content,medium,credential-leak-keywords,4chan board: 3,"{""region"": ""Unknown"", ""trend"": ""46% (vol: 155)"", ""sentiment"": ""neutral"", ""source_url"": ""https://boards.4chan.org/pol/catalog"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:11:39.789995,endchan,triggered_content,medium,credential-leak-keywords,endchan board: 3,"{""region"": ""Unknown"", ""trend"": ""14% (vol: 203)"", ""sentiment"": ""neutral"", ""source_url"": ""https://endchan.org/pol/catalog.html"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:13:41.316360,4chan,triggered_content,medium,credential-leak-keywords,4chan board: 3,"{""region"": ""Unknown"", ""trend"": ""66% (vol: 151)"", ""sentiment"": ""neutral"", ""source_url"": ""https://boards.4chan.org/pol/catalog"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:13:43.734806,endchan,triggered_content,medium,credential-leak-keywords,endchan board: 3,"{""region"": ""Unknown"", ""trend"": ""29% (vol: 425)"", ""sentiment"": ""negative"", ""source_url"": ""https://endchan.org/pol/catalog.html"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:14:02.903744,pastebin,deletion,medium,N/A,Paste QFpvEbhH deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:14:02.906130,pastebin,deletion,medium,N/A,Paste Q1TmWqD7 deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:14:02.907281,pastebin,deletion,medium,N/A,Paste xVWK1FgF deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:15:07.135573,pastebin,deletion,medium,N/A,Paste uShW9fPd deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:15:07.137316,pastebin,deletion,medium,N/A,Paste XrueDDEx deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:15:46.020038,4chan,triggered_content,medium,credential-leak-keywords,4chan board: 3,"{""region"": ""Unknown"", ""trend"": ""90% (vol: 321)"", ""sentiment"": ""negative"", ""source_url"": ""https://boards.4chan.org/pol/catalog"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:15:48.516528,endchan,triggered_content,medium,credential-leak-keywords,endchan board: 3,"{""region"": ""Unknown"", ""trend"": ""79% (vol: 176)"", ""sentiment"": ""negative"", ""source_url"": ""https://endchan.org/pol/catalog.html"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:17:10.997074,pastebin,deletion,medium,N/A,Paste HEdN9R4R deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:17:50.510733,4chan,triggered_content,medium,credential-leak-keywords,4chan board: 3,"{""region"": ""Unknown"", ""trend"": ""82% (vol: 420)"", ""sentiment"": ""neutral"", ""source_url"": ""https://boards.4chan.org/pol/catalog"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:17:53.390648,endchan,triggered_content,medium,credential-leak-keywords,endchan board: 3,"{""region"": ""Unknown"", ""trend"": ""58% (vol: 432)"", ""sentiment"": ""negative"", ""source_url"": ""https://endchan.org/pol/catalog.html"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:18:13.047234,pastebin,deletion,medium,N/A,Paste DrqfWPjn deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:19:16.020365,pastebin,deletion,medium,N/A,Paste C2rseeyu deleted,"{""region"": """", ""trend"": """", ""sentiment"": """", ""source_url"": """", ""lat"": """", ""lon"": """", ""city"": """", ""country"": """"}"
2025-10-30T05:19:56.421503,4chan,triggered_content,medium,credential-leak-keywords,4chan board: 3,"{""region"": ""Unknown"", ""trend"": ""82% (vol: 317)"", ""sentiment"": ""neutral"", ""source_url"": ""https://boards.4chan.org/pol/catalog"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
2025-10-30T05:19:59.538953,endchan,triggered_content,medium,credential-leak-keywords,endchan board: 3,"{""region"": ""Unknown"", ""trend"": ""93% (vol: 170)"", ""sentiment"": ""negative"", ""source_url"": ""https://endchan.org/pol/catalog.html"", ""lat"": """", ""lon"": """", ""city"": ""Unknown"", ""country"": ""Unknown""}"
